NOC,Team,Year,Sex,Medal,Count
AFG,Afghanistan,2008,M,Bronze,1
AFG,Afghanistan,2012,M,Bronze,1
ALG,Algeria,1992,F,Gold,1
ALG,Algeria,2000,F,Gold,1
ALG,Algeria,2008,F,Bronze,1
ALG,Algeria,1992,M,Bronze,1
ALG,Algeria,1996,M,Bronze,1
ALG,Algeria,1996,M,Gold,2
ALG,Algeria,2000,M,Bronze,3
ALG,Algeria,2000,M,Silver,1
ALG,Algeria,2008,M,Silver,1
ALG,Algeria,2012,M,Gold,1
ALG,Algeria,2016,M,Silver,2
AUS,Amateur Athletic Association,1900,M,Gold,1
GBR,Amateur Athletic Association,1900,M,Gold,1
USA,Aphrodite,1964,M,Bronze,3
ARG,Argentina,1948,F,Silver,1
ARG,Argentina,1988,F,Silver,1
ARG,Argentina,2000,F,Bronze,1
ARG,Argentina,2000,F,Silver,16
ARG,Argentina,2004,F,Bronze,19
ARG,Argentina,2008,F,Bronze,17
ARG,Argentina,2012,F,Silver,15
ARG,Argentina,2016,F,Gold,2
ARG,Argentina,1924,M,Bronze,1
ARG,Argentina,1924,M,Silver,1
ARG,Argentina,1928,M,Silver,7
ARG,Argentina,1932,M,Gold,1
ARG,Argentina,1948,M,Gold,1
ARG,Argentina,1952,M,Bronze,1
ARG,Argentina,1952,M,Silver,1
ARG,Argentina,1956,M,Silver,1
ARG,Argentina,1960,M,Bronze,1
ARG,Argentina,1964,M,Silver,1
ARG,Argentina,1968,M,Bronze,2
ARG,Argentina,1972,M,Silver,1
ARG,Argentina,1988,M,Bronze,12
ARG,Argentina,1992,M,Bronze,2
ARG,Argentina,1996,M,Bronze,1
ARG,Argentina,1996,M,Silver,19
ARG,Argentina,2000,M,Bronze,2
ARG,Argentina,2000,M,Silver,1
ARG,Argentina,2004,M,Bronze,2
ARG,Argentina,2004,M,Gold,28
ARG,Argentina,2008,M,Bronze,14
ARG,Argentina,2008,M,Gold,20
ARG,Argentina,2012,M,Bronze,3
ARG,Argentina,2012,M,Gold,1
ARG,Argentina,2016,M,Gold,19
ARG,Argentina,2016,M,Silver,1
CAN,Argonaut Rowing Club,1908,M,Bronze,1
ARM,Armenia,2012,F,Bronze,1
ARM,Armenia,1996,M,Gold,1
ARM,Armenia,1996,M,Silver,1
ARM,Armenia,2000,M,Bronze,1
ARM,Armenia,2008,M,Bronze,5
ARM,Armenia,2012,M,Bronze,1
ARM,Armenia,2012,M,Silver,1
ARM,Armenia,2016,M,Gold,1
ARM,Armenia,2016,M,Silver,3
ANZ,Australasia,1908,M,Bronze,2
ANZ,Australasia,1908,M,Silver,1
ANZ,Australasia,1912,M,Bronze,1
AUS,Australia,1948,F,Bronze,2
AUS,Australia,1948,F,Silver,1
AUS,Australia,1952,F,Bronze,1
AUS,Australia,1952,F,Gold,3
AUS,Australia,1956,F,Bronze,3
AUS,Australia,1956,F,Gold,9
AUS,Australia,1956,F,Silver,1
AUS,Australia,1960,F,Bronze,1
AUS,Australia,1960,F,Gold,1
AUS,Australia,1960,F,Silver,12
AUS,Australia,1964,F,Bronze,3
AUS,Australia,1964,F,Gold,2
AUS,Australia,1964,F,Silver,3
AUS,Australia,1968,F,Bronze,2
AUS,Australia,1968,F,Gold,2
AUS,Australia,1968,F,Silver,7
AUS,Australia,1972,F,Bronze,2
AUS,Australia,1972,F,Gold,5
AUS,Australia,1972,F,Silver,3
AUS,Australia,1980,F,Bronze,1
AUS,Australia,1980,F,Gold,1
AUS,Australia,1984,F,Bronze,8
AUS,Australia,1984,F,Gold,1
AUS,Australia,1984,F,Silver,2
AUS,Australia,1988,F,Bronze,3
AUS,Australia,1988,F,Gold,17
AUS,Australia,1988,F,Silver,1
AUS,Australia,1992,F,Bronze,7
AUS,Australia,1992,F,Gold,2
AUS,Australia,1992,F,Silver,3
AUS,Australia,1996,F,Bronze,39
AUS,Australia,1996,F,Gold,21
AUS,Australia,1996,F,Silver,9
AUS,Australia,1998,F,Bronze,1
AUS,Australia,2000,F,Bronze,21
AUS,Australia,2000,F,Gold,34
AUS,Australia,2000,F,Silver,32
AUS,Australia,2002,F,Gold,1
AUS,Australia,2004,F,Bronze,12
AUS,Australia,2004,F,Gold,18
AUS,Australia,2004,F,Silver,32
AUS,Australia,2006,F,Bronze,1
AUS,Australia,2008,F,Bronze,41
AUS,Australia,2008,F,Gold,22
AUS,Australia,2008,F,Silver,22
AUS,Australia,2010,F,Gold,2
AUS,Australia,2012,F,Bronze,32
AUS,Australia,2012,F,Gold,9
AUS,Australia,2012,F,Silver,24
AUS,Australia,2014,F,Bronze,1
AUS,Australia,2014,F,Silver,1
AUS,Australia,2016,F,Bronze,5
AUS,Australia,2016,F,Gold,20
AUS,Australia,2016,F,Silver,14
AUS,Australia,1900,M,Bronze,3
AUS,Australia,1920,M,Bronze,1
AUS,Australia,1920,M,Silver,1
AUS,Australia,1924,M,Bronze,1
AUS,Australia,1924,M,Gold,1
AUS,Australia,1924,M,Silver,1
AUS,Australia,1928,M,Gold,1
AUS,Australia,1932,M,Bronze,1
AUS,Australia,1932,M,Gold,1
AUS,Australia,1936,M,Bronze,1
AUS,Australia,1956,M,Bronze,6
AUS,Australia,1956,M,Gold,7
AUS,Australia,1956,M,Silver,5
AUS,Australia,1960,M,Bronze,10
AUS,Australia,1960,M,Gold,9
AUS,Australia,1960,M,Silver,9
AUS,Australia,1964,M,Bronze,23
AUS,Australia,1964,M,Gold,3
AUS,Australia,1968,M,Bronze,9
AUS,Australia,1968,M,Gold,3
AUS,Australia,1968,M,Silver,28
AUS,Australia,1972,M,Gold,6
AUS,Australia,1972,M,Silver,4
AUS,Australia,1976,M,Bronze,7
AUS,Australia,1976,M,Silver,15
AUS,Australia,1980,M,Bronze,4
AUS,Australia,1980,M,Gold,5
AUS,Australia,1980,M,Silver,2
AUS,Australia,1984,M,Bronze,23
AUS,Australia,1984,M,Gold,6
AUS,Australia,1984,M,Silver,12
AUS,Australia,1988,M,Bronze,8
AUS,Australia,1988,M,Gold,1
AUS,Australia,1988,M,Silver,5
AUS,Australia,1992,M,Bronze,9
AUS,Australia,1992,M,Gold,11
AUS,Australia,1992,M,Silver,20
AUS,Australia,1994,M,Bronze,3
AUS,Australia,1996,M,Bronze,42
AUS,Australia,1996,M,Gold,11
AUS,Australia,1996,M,Silver,6
AUS,Australia,2000,M,Bronze,33
AUS,Australia,2000,M,Gold,24
AUS,Australia,2000,M,Silver,37
AUS,Australia,2002,M,Gold,1
AUS,Australia,2004,M,Bronze,19
AUS,Australia,2004,M,Gold,31
