NOC,Team,Year,Sex,Medal,Count
ALG,Algeria,1992,F,Gold,1
ALG,Algeria,2000,F,Gold,1
ARG,Argentina,2016,F,Gold,2
AUS,Australia,1952,F,Gold,3
AUS,Australia,1956,F,Gold,9
AUS,Australia,1960,F,Gold,1
AUS,Australia,1964,F,Gold,2
AUS,Australia,1968,F,Gold,2
AUS,Australia,1972,F,Gold,5
AUS,Australia,1980,F,Gold,1
AUS,Australia,1984,F,Gold,1
AUS,Australia,1988,F,Gold,17
AUS,Australia,1992,F,Gold,2
AUS,Australia,1996,F,Gold,21
AUS,Australia,2000,F,Gold,34
AUS,Australia,2002,F,Gold,1
AUS,Australia,2004,F,Gold,18
AUS,Australia,2008,F,Gold,22
AUS,Australia,2010,F,Gold,2
AUS,Australia,2012,F,Gold,9
AUS,Australia,2016,F,Gold,20
AUS,Australia-1,2000,F,Gold,2
AUT,Austria,1948,F,Gold,1
AUT,Austria,1964,F,Gold,1
AUT,Austria,1968,F,Gold,1
AUT,Austria,1972,F,Gold,1
AUT,Austria,1980,F,Gold,2
AUT,Austria,1988,F,Gold,2
AUT,Austria,1992,F,Gold,3
AUT,Austria,1994,F,Gold,1
AUT,Austria,2004,F,Gold,1
AUT,Austria,2006,F,Gold,2
AUT,Austria,2010,F,Gold,1
AUT,Austria,2014,F,Gold,2
AZE,Azerbaijan,2000,F,Gold,1
BAH,Bahamas,2000,F,Gold,6
BAH,Bahamas,2004,F,Gold,1
BAH,Bahamas,2016,F,Gold,1
BRN,Bahrain,2016,F,Gold,1
BLR,Belarus,1996,F,Gold,1
BLR,Belarus,2000,F,Gold,3
BLR,Belarus,2004,F,Gold,1
BLR,Belarus,2008,F,Gold,1
BLR,Belarus,2012,F,Gold,1
BLR,Belarus,2014,F,Gold,4
BEL,Belgium,1996,F,Gold,1
BEL,Belgium,2004,F,Gold,1
BEL,Belgium,2008,F,Gold,1
BEL,Belgium,2016,F,Gold,1
GER,Bonaparte,2008,F,Gold,1
BRA,Brazil,2008,F,Gold,13
BRA,Brazil,2012,F,Gold,13
BRA,Brazil,2016,F,Gold,3
BRA,Brazil-1,1996,F,Gold,2
BUL,Bulgaria,1976,F,Gold,5
BUL,Bulgaria,1988,F,Gold,3
BUL,Bulgaria,1996,F,Gold,1
BUL,Bulgaria,1998,F,Gold,1
BUL,Bulgaria,2000,F,Gold,2
BUL,Bulgaria,2004,F,Gold,1
BUL,Bulgaria,2008,F,Gold,1
CMR,Cameroon,2004,F,Gold,1
CMR,Cameroon,2008,F,Gold,1
CAN,Canada,1928,F,Gold,5
CAN,Canada,1960,F,Gold,1
CAN,Canada,1968,F,Gold,1
CAN,Canada,1976,F,Gold,1
CAN,Canada,1984,F,Gold,4
CAN,Canada,1988,F,Gold,3
CAN,Canada,1992,F,Gold,21
CAN,Canada,1994,F,Gold,2
CAN,Canada,1996,F,Gold,2
CAN,Canada,1998,F,Gold,7
CAN,Canada,2002,F,Gold,22
CAN,Canada,2004,F,Gold,1
CAN,Canada,2006,F,Gold,24
CAN,Canada,2008,F,Gold,1
CAN,Canada,2010,F,Gold,24
CAN,Canada,2012,F,Gold,1
CAN,Canada,2014,F,Gold,27
CAN,Canada,2016,F,Gold,3
CAN,Canada-1,2002,F,Gold,1
CAN,Canada-1,2010,F,Gold,3
CAN,Canada-1,2014,F,Gold,2
CHN,China,1984,F,Gold,14
CHN,China,1988,F,Gold,3
CHN,China,1992,F,Gold,11
CHN,China,1996,F,Gold,7
CHN,China,2000,F,Gold,15
CHN,China,2002,F,Gold,2
CHN,China,2004,F,Gold,29
CHN,China,2006,F,Gold,1
CHN,China,2008,F,Gold,38
CHN,China,2010,F,Gold,7
CHN,China,2012,F,Gold,26
CHN,China,2014,F,Gold,3
CHN,China,2016,F,Gold,30
CHN,China-1,1996,F,Gold,2
CHN,China-1,2000,F,Gold,2
CHN,China-1,2004,F,Gold,6
CHN,China-1,2008,F,Gold,2
CHN,China-1,2010,F,Gold,1
CHN,China-1,2012,F,Gold,3
CHN,China-2,1992,F,Gold,2
CHN,China-2,1996,F,Gold,2
CHN,China-2,2000,F,Gold,3
CHN,China-2,2004,F,Gold,1
TPE,Chinese Taipei,2004,F,Gold,1
TPE,Chinese Taipei,2016,F,Gold,1
COL,Colombia,2000,F,Gold,1
COL,Colombia,2012,F,Gold,1
COL,Colombia,2016,F,Gold,2
CRC,Costa Rica,1996,F,Gold,1
CRO,Croatia,2002,F,Gold,3
CRO,Croatia,2006,F,Gold,1
CRO,Croatia,2012,F,Gold,1
CRO,Croatia,2016,F,Gold,2
CUB,Cuba,1980,F,Gold,1
CUB,Cuba,1992,F,Gold,9
CUB,Cuba,1996,F,Gold,11
CUB,Cuba,2000,F,Gold,10
CUB,Cuba,2004,F,Gold,2
CUB,Cuba,2012,F,Gold,1
CZE,Czech Republic,1996,F,Gold,1
CZE,Czech Republic,2000,F,Gold,1
CZE,Czech Republic,2006,F,Gold,1
CZE,Czech Republic,2008,F,Gold,2
CZE,Czech Republic,2010,F,Gold,2
CZE,Czech Republic,2012,F,Gold,2
CZE,Czech Republic,2014,F,Gold,2
TCH,Czechoslovakia,1952,F,Gold,1
TCH,Czechoslovakia,1956,F,Gold,1
TCH,Czechoslovakia,1960,F,Gold,1
TCH,Czechoslovakia,1964,F,Gold,3
TCH,Czechoslovakia,1968,F,Gold,6
DEN,Denmark,1996,F,Gold,7
DEN,Denmark,2000,F,Gold,15
DEN,Denmark,2004,F,Gold,15
DEN,Denmark,2016,F,Gold,1
GDR,East Germany,1968,F,Gold,1
GDR,East Germany,1972,F,Gold,13
GDR,East Germany,1976,F,Gold,54
GDR,East Germany,1980,F,Gold,60
GDR,East Germany,1984,F,Gold,6
