NOC,Team,Year,Sex,Medal,Count
ARG,Argentina,1948,F,Silver,1
ARG,Argentina,1988,F,Silver,1
ARG,Argentina,2000,F,Silver,16
ARG,Argentina,2012,F,Silver,15
AUS,Australia,1948,F,Silver,1
AUS,Australia,1956,F,Silver,1
AUS,Australia,1960,F,Silver,12
AUS,Australia,1964,F,Silver,3
AUS,Australia,1968,F,Silver,7
AUS,Australia,1972,F,Silver,3
AUS,Australia,1984,F,Silver,2
AUS,Australia,1988,F,Silver,1
AUS,Australia,1992,F,Silver,3
AUS,Australia,1996,F,Silver,9
AUS,Australia,2000,F,Silver,32
AUS,Australia,2004,F,Silver,32
AUS,Australia,2008,F,Silver,22
AUS,Australia,2012,F,Silver,24
AUS,Australia,2014,F,Silver,1
AUS,Australia,2016,F,Silver,14
AUT,Austria,1956,F,Silver,1
AUT,Austria,1968,F,Silver,1
AUT,Austria,1972,F,Silver,2
AUT,Austria,1976,F,Silver,1
AUT,Austria,1992,F,Silver,3
AUT,Austria,1994,F,Silver,2
AUT,Austria,1998,F,Silver,2
AUT,Austria,2000,F,Silver,1
AUT,Austria,2002,F,Silver,1
AUT,Austria,2004,F,Silver,1
AUT,Austria,2006,F,Silver,2
AUT,Austria,2010,F,Silver,2
AUT,Austria,2014,F,Silver,4
AZE,Azerbaijan,2012,F,Silver,1
AZE,Azerbaijan,2016,F,Silver,1
BAH,Bahamas,1996,F,Silver,5
BRN,Bahrain,2016,F,Silver,1
BLR,Belarus,1994,F,Silver,1
BLR,Belarus,1996,F,Silver,1
BLR,Belarus,2000,F,Silver,7
BLR,Belarus,2004,F,Silver,2
BLR,Belarus,2008,F,Silver,2
BLR,Belarus,2012,F,Silver,5
BLR,Belarus,2016,F,Silver,2
BEL,Belgium,1992,F,Silver,1
BEL,Belgium,1996,F,Silver,1
BEL,Belgium,2008,F,Silver,4
BRA,Brazil,1996,F,Silver,12
BRA,Brazil,2004,F,Silver,17
BRA,Brazil,2008,F,Silver,18
BRA,Brazil-1,2000,F,Silver,2
BRA,Brazil-1,2004,F,Silver,2
BRA,Brazil-1,2016,F,Silver,2
BRA,Brazil-2,1996,F,Silver,1
BUL,Bulgaria,1972,F,Silver,2
BUL,Bulgaria,1976,F,Silver,7
BUL,Bulgaria,1980,F,Silver,19
BUL,Bulgaria,1988,F,Silver,8
BUL,Bulgaria,1992,F,Silver,3
BUL,Bulgaria,1996,F,Silver,7
BUL,Bulgaria,2000,F,Silver,1
BUL,Bulgaria,2002,F,Silver,1
BUL,Bulgaria,2006,F,Silver,1
BUL,Bulgaria,2008,F,Silver,1
BUL,Bulgaria,2012,F,Silver,1
BUL,Bulgaria,2016,F,Silver,1
BDI,Burundi,2016,F,Silver,1
CAN,Canada,1928,F,Silver,1
CAN,Canada,1932,F,Silver,4
CAN,Canada,1968,F,Silver,3
CAN,Canada,1972,F,Silver,2
CAN,Canada,1976,F,Silver,2
CAN,Canada,1984,F,Silver,21
CAN,Canada,1988,F,Silver,1
CAN,Canada,1992,F,Silver,2
CAN,Canada,1994,F,Silver,6
CAN,Canada,1996,F,Silver,22
CAN,Canada,1998,F,Silver,21
CAN,Canada,2000,F,Silver,3
CAN,Canada,2002,F,Silver,1
CAN,Canada,2004,F,Silver,3
CAN,Canada,2006,F,Silver,14
CAN,Canada,2008,F,Silver,4
CAN,Canada,2010,F,Silver,12
CAN,Canada,2012,F,Silver,10
CAN,Canada,2014,F,Silver,11
CAN,Canada,2016,F,Silver,3
CAN,Canada-1,1964,F,Silver,1
CAN,Canada-1,2014,F,Silver,1
CAN,Canada-2,2010,F,Silver,2
CHI,Chile,1956,F,Silver,1
CHN,China,1984,F,Silver,1
CHN,China,1988,F,Silver,12
CHN,China,1992,F,Silver,31
CHN,China,1994,F,Silver,1
CHN,China,1996,F,Silver,52
CHN,China,1998,F,Silver,7
CHN,China,2000,F,Silver,10
CHN,China,2002,F,Silver,4
CHN,China,2004,F,Silver,18
CHN,China,2006,F,Silver,3
CHN,China,2008,F,Silver,40
CHN,China,2010,F,Silver,1
CHN,China,2012,F,Silver,30
CHN,China,2014,F,Silver,2
CHN,China,2016,F,Silver,23
CHN,China-1,1992,F,Silver,4
CHN,China-1,2006,F,Silver,1
CHN,China-1,2008,F,Silver,2
CHN,China-2,1996,F,Silver,2
CHN,China-2,2000,F,Silver,2
CHN,China-2,2010,F,Silver,1
CHN,China-2,2012,F,Silver,1
TPE,Chinese Taipei,1996,F,Silver,1
TPE,Chinese Taipei,2000,F,Silver,1
TPE,Chinese Taipei,2012,F,Silver,1
COL,Colombia,2012,F,Silver,1
COL,Colombia,2016,F,Silver,1
CRC,Costa Rica,1988,F,Silver,1
CRO,Croatia,2002,F,Silver,1
CRO,Croatia,2006,F,Silver,1
CRO,Croatia,2008,F,Silver,1
CUB,Cuba,1968,F,Silver,4
CUB,Cuba,1992,F,Silver,1
CUB,Cuba,1996,F,Silver,2
CUB,Cuba,2000,F,Silver,3
CUB,Cuba,2004,F,Silver,3
CUB,Cuba,2008,F,Silver,6
CUB,Cuba,2012,F,Silver,2
CUB,Cuba,2016,F,Silver,1
CZE,Czech Republic,1996,F,Silver,2
CZE,Czech Republic,1998,F,Silver,1
CZE,Czech Republic,2002,F,Silver,2
CZE,Czech Republic,2004,F,Silver,2
CZE,Czech Republic,2006,F,Silver,1
CZE,Czech Republic,2008,F,Silver,1
CZE,Czech Republic,2014,F,Silver,4
CZE,Czech Republic-1,2012,F,Silver,2
TCH,Czechoslovakia,1956,F,Silver,1
TCH,Czechoslovakia,1960,F,Silver,7
TCH,Czechoslovakia,1964,F,Silver,6
TCH,Czechoslovakia,1968,F,Silver,7
TCH,Czechoslovakia,1972,F,Silver,1
TCH,Czechoslovakia,1980,F,Silver,17
TCH,Czechoslovakia,1984,F,Silver,4
TCH,Czechoslovakia,1988,F,Silver,2
DEN,Denmark,1984,F,Silver,1
DEN,Denmark,1998,F,Silver,5
DEN,Denmark,2000,F,Silver,1
DEN,Denmark,2012,F,Silver,1
DEN,Denmark,2016,F,Silver,4
GDR,East Germany,1968,F,Silver,10
GDR,East Germany,1972,F,Silver,31
GDR,East Germany,1976,F,Silver,35
GDR,East Germany,1980,F,Silver,35
GDR,East Germany,1984,F,Silver,5
GDR,East Germany,1988,F,Silver,25
GDR,East Germany-1,1976,F,Silver,1
EST,Estonia,2010,F,Silver,1
ETH,Ethiopia,2000,F,Silver,1
ETH,Ethiopia,2004,F,Silver,1
ETH,Ethiopia,2016,F,Silver,1
FIN,Finland,1924,F,Silver,1
FIN,Finland,1948,F,Silver,1
FIN,Finland,1952,F,Silver,1
FIN,Finland,1964,F,Silver,2
FIN,Finland,1968,F,Silver,1
FIN,Finland,1972,F,Silver,4
FIN,Finland,1976,F,Silver,5
FIN,Finland,1980,F,Silver,2
FIN,Finland,1984,F,Silver,1
FIN,Finland,1992,F,Silver,1
FIN,Finland,2006,F,Silver,1
FIN,Finland,2008,F,Silver,2
FIN,Finland,2012,F,Silver,1
FIN,Finland,2014,F,Silver,7
FRA,France,1964,F,Silver,5
FRA,France,1968,F,Silver,3
FRA,France,1972,F,Silver,1
FRA,France,1976,F,Silver,5
FRA,France,1984,F,Silver,1
FRA,France,1988,F,Silver,1
FRA,France,1992,F,Silver,2
FRA,France,1994,F,Silver,1
FRA,France,1996,F,Silver,3
FRA,France,2000,F,Silver,5
FRA,France,2002,F,Silver,3
FRA,France,2004,F,Silver,6
FRA,France,2008,F,Silver,2
FRA,France,2010,F,Silver,5
FRA,France,2012,F,Silver,15
FRA,France,2014,F,Silver,1
FRA,France,2016,F,Silver,22
FRA,France-1,1992,F,Silver,1
GER,Germany,1932,F,Silver,1
GER,Germany,1936,F,Silver,2
GER,Germany,1952,F,Silver,5
GER,Germany,1956,F,Silver,5
GER,Germany,1960,F,Silver,11
GER,Germany,1964,F,Silver,6
GER,Germany,1992,F,Silver,46
GER,Germany,1994,F,Silver,8
GER,Germany,1996,F,Silver,18
GER,Germany,1998,F,Silver,8
GER,Germany,2000,F,Silver,6
GER,Germany,2002,F,Silver,7
GER,Germany,2004,F,Silver,13
GER,Germany,2006,F,Silver,15
GER,Germany,2008,F,Silver,4
GER,Germany,2010,F,Silver,9
GER,Germany,2012,F,Silver,17
GER,Germany,2014,F,Silver,3
GER,Germany,2016,F,Silver,16
GER,Germany-1,1960,F,Silver,1
GER,Germany-1,1964,F,Silver,1
GER,Germany-1,2002,F,Silver,2
GBR,Great Britain,1936,F,Silver,4
GBR,Great Britain,1948,F,Silver,3
GBR,Great Britain,1952,F,Silver,1
GBR,Great Britain,1956,F,Silver,5
GBR,Great Britain,1960,F,Silver,4
GBR,Great Britain,1964,F,Silver,2
GBR,Great Britain,1968,F,Silver,3
GBR,Great Britain,1972,F,Silver,1
GBR,Great Britain,1980,F,Silver,5
GBR,Great Britain,1984,F,Silver,6
GBR,Great Britain,1988,F,Silver,4
GBR,Great Britain,1992,F,Silver,1
GBR,Great Britain,2000,F,Silver,7
GBR,Great Britain,2004,F,Silver,9
GBR,Great Britain,2006,F,Silver,1
GBR,Great Britain,2008,F,Silver,8
GBR,Great Britain,2012,F,Silver,12
GBR,Great Britain,2016,F,Silver,20
GBR,Great Britain-1,2004,F,Silver,1
GRE,Greece,1996,F,Silver,1
GRE,Greece,2000,F,Silver,3
GRE,Greece,2004,F,Silver,16
HUN,Hungary,1948,F,Silver,1
HUN,Hungary,1952,F,Silver,1
HUN,Hungary,1956,F,Silver,1
HUN,Hungary,1960,F,Silver,4
HUN,Hungary,1964,F,Silver,2
HUN,Hungary,1968,F,Silver,7
HUN,Hungary,1972,F,Silver,7
HUN,Hungary,1976,F,Silver,2
HUN,Hungary,1980,F,Silver,2
HUN,Hungary,1988,F,Silver,5
HUN,Hungary,1992,F,Silver,3
HUN,Hungary,2000,F,Silver,22
HUN,Hungary,2004,F,Silver,5
