,REF_AREA,Reference area,CHEM_COMP,Pollutant,Measure,Unit of measure,TIME_PERIOD,OBS_VALUE,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2
0,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,1990,346.5895,A,Normal value,,
1,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,1991,360.3044,A,Normal value,,
2,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,1992,296.9344,A,Normal value,,
3,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,1993,296.017,A,Normal value,,
4,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,1994,256.0165,A,Normal value,,
5,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,1995,219.8267,A,Normal value,,
6,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,1996,223.6145,A,Normal value,,
7,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,1997,213.9657,A,Normal value,,
8,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,1998,198.5027,A,Normal value,,
9,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,1999,196.8578,A,Normal value,,
10,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,2000,174.8599,A,Normal value,,
11,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,2001,168.6571,A,Normal value,,
12,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,2002,161.329,A,Normal value,,
13,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,2003,158.1437,A,Normal value,,
14,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,2004,157.7423,A,Normal value,,
15,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,2005,154.9639,A,Normal value,,
16,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,2006,157.8495,A,Normal value,,
17,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,2007,154.0529,A,Normal value,,
18,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,2008,141.5867,A,Normal value,,
19,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,2009,137.4148,A,Normal value,,
20,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,2010,135.1118,A,Normal value,,
21,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,2011,133.3366,A,Normal value,,
22,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,2012,127.7504,A,Normal value,,
23,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,2013,125.1775,A,Normal value,,
24,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,2014,128.8555,A,Normal value,,
25,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,2015,130.2558,A,Normal value,,
26,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,2016,131.5864,A,Normal value,,
27,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,2017,133.4064,A,Normal value,,
28,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,2018,132.5354,A,Normal value,,
29,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,2019,126.4102,A,Normal value,,
30,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,2020,124.9836,A,Normal value,,
31,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,2021,123.4826,A,Normal value,,
32,NLD,Netherlands,NH3,Ammonia,Total man-made emissions,Tonnes,2022,121.1514,A,Normal value,,
33,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,1990,148.2411,A,Normal value,,
34,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,1991,137.4867,A,Normal value,,
35,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,1992,116.4508,A,Normal value,,
36,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,1993,96.33022,A,Normal value,,
37,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,1994,82.22983,A,Normal value,,
38,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,1995,72.00757,A,Normal value,,
39,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,1996,66.843,A,Normal value,,
40,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,1997,66.56215,A,Normal value,,
41,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,1998,58.95339,A,Normal value,,
42,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,1999,61.21369,A,Normal value,,
43,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,2000,56.67294,A,Normal value,,
44,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,2001,54.26701,A,Normal value,,
45,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,2002,57.52096,A,Normal value,,
46,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,2003,56.56044,A,Normal value,,
47,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,2004,62.52982,A,Normal value,,
48,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,2005,57.85207,A,Normal value,,
49,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,2006,57.54844,A,Normal value,,
50,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,2007,53.48043,A,Normal value,,
51,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,2008,56.99531,A,Normal value,,
52,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,2009,53.70446,A,Normal value,,
53,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,2010,55.72458,A,Normal value,,
54,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,2011,54.91449,A,Normal value,,
55,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,2012,55.02655,A,Normal value,,
56,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,2013,58.65299,A,Normal value,,
57,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,2014,62.74001,A,Normal value,,
58,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,2015,62.39882,A,Normal value,,
59,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,2016,63.57658,A,Normal value,,
60,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,2017,62.62841,A,Normal value,,
61,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,2018,62.35734,A,Normal value,,
62,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,2019,64.43073,A,Normal value,,
63,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,2020,60.19119,A,Normal value,,
64,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,2021,60.77687,A,Normal value,,
65,BGR,Bulgaria,NH3,Ammonia,Total man-made emissions,Tonnes,2022,61.19237,A,Normal value,,
66,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,1990,250.3334,A,Normal value,,
67,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,1991,202.2217,A,Normal value,,
68,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,1992,157.8102,A,Normal value,,
69,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,1993,138.1208,A,Normal value,,
70,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,1994,123.6602,A,Normal value,,
71,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,1995,104.9695,A,Normal value,,
72,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,1996,110.4494,A,Normal value,,
73,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,1997,101.6377,A,Normal value,,
74,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,1998,93.74995,A,Normal value,,
75,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,1999,91.38976,A,Normal value,,
76,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,2000,81.03143,A,Normal value,,
77,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,2001,90.36361,A,Normal value,,
78,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,2002,91.17335,A,Normal value,,
79,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,2003,102.5079,A,Normal value,,
80,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,2004,84.62156,A,Normal value,,
81,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,2005,69.24419,A,Normal value,,
82,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,2006,84.07767,A,Normal value,,
83,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,2007,82.85028,A,Normal value,,
84,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,2008,67.73735,A,Normal value,,
85,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,2009,59.5969,A,Normal value,,
86,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,2010,67.14653,A,Normal value,,
87,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,2011,60.45467,A,Normal value,,
88,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,2012,51.06461,A,Normal value,,
89,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,2013,48.49363,A,Normal value,,
90,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,2014,43.46975,A,Normal value,,
91,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,2015,42.13921,A,Normal value,,
92,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,2016,39.91289,A,Normal value,,
93,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,2017,35.56709,A,Normal value,,
94,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,2018,32.85526,A,Normal value,,
95,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,2019,29.12107,A,Normal value,,
96,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,2020,23.28503,A,Normal value,,
97,FIN,Finland,SOX,Sulphur oxides,Total man-made emissions,Tonnes,2021,23.86033,A,Normal value,,
98,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,1990,846.5402,A,Normal value,,
99,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,1991,817.4612,A,Normal value,,
100,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,1992,770.3279,A,Normal value,,
101,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,1993,744.8435,A,Normal value,,
102,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,1994,688.8334,A,Normal value,,
103,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,1995,638.3278,A,Normal value,,
104,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,1996,568.7935,A,Normal value,,
105,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,1997,494.9426,A,Normal value,,
106,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,1998,474.8879,A,Normal value,,
107,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,1999,445.585,A,Normal value,,
108,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,2000,396.2262,A,Normal value,,
109,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,2001,404.8185,A,Normal value,,
110,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,2002,404.2346,A,Normal value,,
111,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,2003,354.1848,A,Normal value,,
112,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,2004,336.6843,A,Normal value,,
113,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,2005,332.1548,A,Normal value,,
114,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,2006,326.3698,A,Normal value,,
115,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,2007,302.1771,A,Normal value,,
116,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,2008,285.2276,A,Normal value,,
117,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,2009,288.021,A,Normal value,,
118,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,2010,287.8059,A,Normal value,,
119,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,2011,281.1586,A,Normal value,,
120,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,2012,288.3079,A,Normal value,,
121,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,2013,293.8556,A,Normal value,,
122,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,2014,284.4865,A,Normal value,,
123,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,2015,252.5422,A,Normal value,,
124,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,2016,247.7178,A,Normal value,,
125,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,2017,238.9954,A,Normal value,,
126,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,2018,234.7055,A,Normal value,,
127,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,2019,233.1198,A,Normal value,,
128,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,2020,312.0192,A,Normal value,,
129,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,2021,304.8279,A,Normal value,,
130,UKR,Ukraine,NH3,Ammonia,Total man-made emissions,Tonnes,2022,296.2145,A,Normal value,,
131,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,1990,53.07599,A,Normal value,,
132,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,1991,46.28046,A,Normal value,,
133,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,1992,39.48492,A,Normal value,,
134,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,1993,32.6894,A,Normal value,,
135,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,1994,25.89386,A,Normal value,,
136,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,1995,19.09833,A,Normal value,,
137,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,1996,18.41402,A,Normal value,,
138,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,1997,17.72971,A,Normal value,,
139,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,1998,17.0454,A,Normal value,,
140,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,1999,16.36109,A,Normal value,,
141,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,2000,17.86618,A,Normal value,,
142,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,2001,18.86347,A,Normal value,,
143,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,2002,19.65894,A,Normal value,,
144,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,2003,20.3737,A,Normal value,,
145,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,2004,21.56042,A,Normal value,,
146,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,2005,22.34469,A,Normal value,,
147,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,2006,23.46262,A,Normal value,,
148,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,2007,24.85617,A,Normal value,,
149,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,2008,25.67277,A,Normal value,,
150,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,2009,26.59005,A,Normal value,,
151,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,2010,27.49844,A,Normal value,,
152,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,2011,31.99264,A,Normal value,,
153,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,2012,38.38979,A,Normal value,,
154,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,2013,43.41534,A,Normal value,,
155,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,2014,50.00063,A,Normal value,,
156,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,2015,54.69991,A,Normal value,,
157,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,2016,57.09484,A,Normal value,,
158,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,2017,58.54546,A,Normal value,,
159,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,2018,59.55282,A,Normal value,,
160,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,2019,59.40681,A,Normal value,,
161,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,2020,56.64804,A,Normal value,,
162,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,2021,59.38401,A,Normal value,,
163,TJK,Tajikistan,NOX,Nitrogen oxides,Total man-made emissions,Tonnes,2022,46.03094,A,Normal value,,
164,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,1990,77.40776,A,Normal value,,
165,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,1991,63.87634,A,Normal value,,
166,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,1992,62.33959,A,Normal value,,
167,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,1993,64.88103,A,Normal value,,
168,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,1994,67.97754,A,Normal value,,
169,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,1995,73.4228,A,Normal value,,
170,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,1996,111.0283,A,Normal value,,
171,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,1997,130.9685,A,Normal value,,
172,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,1998,117.683,A,Normal value,,
173,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,1999,108.9332,A,Normal value,,
174,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2000,106.7497,A,Normal value,,
175,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2001,87.21805,A,Normal value,,
176,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2002,90.18068,A,Normal value,,
177,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2003,106.2596,A,Normal value,,
178,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2004,119.352,A,Normal value,,
179,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2005,120.7538,A,Normal value,,
180,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2006,115.8912,A,Normal value,,
181,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2007,113.913,A,Normal value,,
182,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2008,133.4016,A,Normal value,,
183,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2009,125.6933,A,Normal value,,
184,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2010,129.062,A,Normal value,,
185,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2011,119.1147,A,Normal value,,
186,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2012,120.9868,A,Normal value,,
187,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2013,113.5423,A,Normal value,,
188,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2014,113.6587,A,Normal value,,
189,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2015,108.6042,A,Normal value,,
190,ROU,Romania,PM2_5,Particulates (PM2.5),Total man-made emissions,Tonnes,2016,108.6849,A,Normal value,,
