,Reference area,REF_AREA,Measure,Unit of measure,TIME_PERIOD,Avoidable_mortality_values
0,Poland,POL,Preventable mortality,Deaths per 100 000 inhabitants,2016,181.4
1,Poland,POL,Preventable mortality,Deaths per 100 000 inhabitants,2017,182.1
2,United States,USA,Treatable mortality,Deaths,2000,281989.5
3,United States,USA,Treatable mortality,Deaths,2001,279400.0
4,Israel,ISR,Avoidable mortality,Deaths per 100 000 inhabitants,2005,204.1
5,Israel,ISR,Avoidable mortality,Deaths per 100 000 inhabitants,2006,194.5
6,United States,USA,Treatable mortality,Deaths,2004,271015.0
7,United States,USA,Treatable mortality,Deaths,2005,271343.0
8,United States,USA,Treatable mortality,Deaths,2006,270028.5
9,United States,USA,Treatable mortality,Deaths,2007,268084.0
10,United States,USA,Treatable mortality,Deaths,2008,271695.0
11,United States,USA,Treatable mortality,Deaths,2009,271261.0
12,United States,USA,Treatable mortality,Deaths,2010,269110.5
13,United States,USA,Treatable mortality,Deaths,2020,338511.0
14,United States,USA,Treatable mortality,Deaths,2021,346474.0
15,United States,USA,Treatable mortality,Deaths,2013,283053.5
16,United States,USA,Treatable mortality,Deaths,2014,289121.0
17,United States,USA,Treatable mortality,Deaths,2015,296989.0
18,United States,USA,Treatable mortality,Deaths,2016,303224.5
19,United States,USA,Treatable mortality,Deaths,2017,307973.5
20,United States,USA,Treatable mortality,Deaths,2018,310826.5
21,United States,USA,Treatable mortality,Deaths,2019,311639.5
22,New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2015,68.4
23,New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2016,66.2
24,New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2000,113.4
25,New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2001,111.3
26,New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2002,106.6
27,New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2003,100.5
28,New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2004,97.9
29,New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2005,91.5
30,New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2006,91.3
31,New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2007,91.7
32,New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2008,86.8
33,New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2009,85.0
34,United States,USA,Treatable mortality,Deaths,2002,281004.0
35,United States,USA,Treatable mortality,Deaths,2003,279093.5
36,New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2012,75.6
37,New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2013,70.9
38,New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2014,70.1
39,Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2007,71.7
40,Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2008,69.7
41,Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2015,52.1
42,Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2016,50.8
43,Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2004,76.7
44,Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2005,76.6
45,Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2009,67.1
46,Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2010,62.8
47,Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2011,61.4
48,Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2012,60.6
49,Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2013,56.2
50,Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2000,94.7
51,Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2001,91.6
