Country,Country_Code,Measure,Unit_of_measure,Sex,Age,Year,Retirement_values
Australia,AUS,Gross pension replacement rate at 200% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022,26
Austria,AUT,Employment rate,Percentage of population in the same age,Not applicable,From 65 to 69 years,2014,10.2
Austria,AUT,Employment rate,Percentage of population in the same age,Not applicable,From 65 to 69 years,2018,9.4
Austria,AUT,Employment rate,Percentage of population in the same age,Not applicable,From 65 to 69 years,2020,8.3
Austria,AUT,Employment rate,Percentage of population in the same age,Not applicable,From 65 to 69 years,2022,10.4
Belgium,BEL,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2014,23.6
Belgium,BEL,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2018,30
Belgium,BEL,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2020,34.3
Belgium,BEL,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2022,39.1
Czechia,CZE,Gross pension replacement rate at 200% of average wage,Percentage of gross pre-retirement earnings at the same income level,Female,Not applicable,2022,32.1
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1970,62.8
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1971,62.4
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1972,62.1
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1973,61.8
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1974,61.4
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1975,61
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1976,61.1
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1977,61.1
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1978,61.2
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1979,61.4
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1980,61.5
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1981,61.7
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1982,61.9
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1983,62.1
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1984,62.3
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1985,62.4
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1986,62.2
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1987,62.1
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1988,61.9
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1989,61.8
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1990,61.6
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1991,61.5
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1992,60.9
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1993,60.3
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1994,60.4
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1995,60.7
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1996,60.5
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1997,60.7
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1998,60.6
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1999,60.9
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2000,60.6
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2001,60.9
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2002,60.8
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2003,60.7
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2004,60.4
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2005,60.6
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2006,60.7
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2007,61.1
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2008,61.7
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2009,61.2
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2010,61.5
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2011,61.6
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2012,62.2
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2013,62.5
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2014,62.4
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2015,62
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2016,61.6
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2017,61.8
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2018,62.3
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2019,63
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2020,63.1
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2021,63.5
Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,2022,64
Denmark,DNK,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022,73.1
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1970,17.1
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1971,17.3
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1972,17.5
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1973,17.7
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1974,17.8
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1975,18.4
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1976,18.4
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1977,18.6
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1978,18.7
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1979,18.7
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1980,19
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1981,19
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1982,19
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1983,19.5
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1984,20.3
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1985,19.8
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1986,19.4
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1987,21
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1988,21.2
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1989,20.7
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1990,20.6
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1991,20.8
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1992,20.9
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1993,21.7
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1994,22.8
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1995,22.5
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1996,23.4
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1997,23.4
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1998,22.9
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,1999,21.8
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2000,22.8
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2001,22.1
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2002,21.1
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2003,20.8
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2004,21.7
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2005,22
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2006,21.6
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2007,22.2
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2008,22.5
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2009,22.8
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2010,22.8
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2011,23.9
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2012,23.6
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2013,23.9
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2014,24.8
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2015,24.4
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2016,23
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2017,23.2
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2018,23.3
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2019,22.4
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2020,22.4
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2021,21.7
Denmark,DNK,Expected years after labour market exit,Years,Female,Not applicable,2022,22.4
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1950,20.9
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1951,20.7
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1952,20.7
Ireland,IRL,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1953,20.7
