,Country,Country_Code,Measure,Unit_of_measure,Sex,Age,Year,Retirement_values
0,Australia,AUS,Gross pension replacement rate at 200% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022,26.0
1,Austria,AUT,Employment rate,Percentage of population in the same age,Not applicable,From 65 to 69 years,2014,10.2
2,Austria,AUT,Employment rate,Percentage of population in the same age,Not applicable,From 65 to 69 years,2018,9.4
3,Austria,AUT,Employment rate,Percentage of population in the same age,Not applicable,From 65 to 69 years,2020,8.3
4,Austria,AUT,Employment rate,Percentage of population in the same age,Not applicable,From 65 to 69 years,2022,10.4
5,Belgium,BEL,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2014,23.6
6,Belgium,BEL,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2018,30.0
7,Belgium,BEL,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2020,34.3
8,Belgium,BEL,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2022,39.1
9,Czechia,CZE,Gross pension replacement rate at 200% of average wage,Percentage of gross pre-retirement earnings at the same income level,Female,Not applicable,2022,32.1
10,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1970,62.8
11,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1971,62.4
12,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1972,62.1
13,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1973,61.8
14,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1974,61.4
15,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1975,61.0
16,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1976,61.1
17,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1977,61.1
18,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1978,61.2
19,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1979,61.4
20,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1980,61.5
21,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1981,61.7
22,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1982,61.9
23,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1983,62.1
24,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1984,62.3
25,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1985,62.4
26,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1986,62.2
27,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1987,62.1
28,Czechia,CZE,Effective labour market exit age,Years,Male,Not applicable,1988,61.9
