,REF_AREA,Reference area,Measure,Unit of measure,Age,Health status,TIME_PERIOD,OBS_VALUE
0,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1980,73.5
1,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1981,75.4
2,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1982,74.9
3,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1983,76.5
4,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1984,74.4
5,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1985,76.0
6,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1986,74.4
7,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1987,72.5
8,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1988,72.8
9,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1989,72.7
10,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1990,72.5
11,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1991,72.4
12,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1992,73.8
13,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1993,78.1
14,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1994,82.7
15,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1995,81.2
16,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1996,72.0
17,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1997,70.3
18,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1998,70.4
19,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1999,72.9
20,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2000,72.8
21,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2001,70.1
22,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2002,73.2
23,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2003,70.0
24,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2004,84.8
25,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,84.9
26,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,84.1
27,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,87.2
28,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,87.2
29,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,88.2
30,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,87.8
31,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,88.7
32,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,84.3
33,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,81.4
34,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,86.6
35,FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,84.1
36,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1983,87.4
37,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1984,86.9
38,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1985,87.4
39,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1986,87.7
40,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1987,87.4
41,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1988,88.8
42,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1989,88.4
43,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1990,85.8
44,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1991,85.8
45,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1992,86.7
46,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1993,85.6
47,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1994,85.6
48,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1995,86.7
49,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1996,87.8
50,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1997,87.1
51,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1998,86.6
52,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1999,85.4
53,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2000,86.0
54,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2001,86.6
55,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2002,85.5
56,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2003,85.8
57,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2004,86.1
58,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,86.9
59,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,85.4
60,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,85.8
61,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,86.2
62,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,86.2
63,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,87.3
64,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,86.0
65,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,85.9
66,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,84.7
67,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,87.7
68,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,86.8
69,GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2003,95.7
70,GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2004,95.7
71,GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,94.7
72,GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,94.1
73,GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,94.1
74,GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,92.9
75,GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,93.7
76,GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,94.9
77,GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,94.4
78,GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,93.6
79,GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,94.0
80,GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,93.1
81,GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,93.4
82,LTU,Lithuania,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,58.4
83,LTU,Lithuania,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,62.6
84,LTU,Lithuania,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,70.2
85,LTU,Lithuania,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,70.7
86,LTU,Lithuania,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,71.0
87,LTU,Lithuania,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,75.4
88,LTU,Lithuania,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,70.8
89,LTU,Lithuania,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,72.5
90,LTU,Lithuania,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,77.2
91,LTU,Lithuania,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,75.7
92,LTU,Lithuania,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,73.6
93,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1980,86.3
94,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1981,87.4
95,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1982,88.5
96,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1983,88.0
97,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1984,87.4
98,SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1985,88.5
