Country,Country_code,Measure,Domain,Unit_of_measure,Age,Year,Well-being_values
Hungary,HUN,Life satisfaction,Subjective well-being,0-10 scale,Young,2013,6.962406537
Hungary,HUN,Life satisfaction,Subjective well-being,0-10 scale,Young,2018,7.382389417
Hungary,HUN,Life satisfaction,Subjective well-being,0-10 scale,Young,2021,7.106230820
Hungary,HUN,Life satisfaction,Subjective well-being,0-10 scale,Young,2022,7.464816016
Hungary,HUN,Life satisfaction,Subjective well-being,0-10 scale,Young,2023,7.7
Iceland,ISL,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2012,88.67394328
Iceland,ISL,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2015,88.67394328
Iceland,ISL,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2022,88.67394328
Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2010,6.261643022
Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2011,6.261643022
Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2012,6.261643022
Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2013,6.261643022
Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2014,6.261643022
Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2015,6.261643022
Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2016,6.261643022
Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2017,6.261643022
Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2018,6.261643022
Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2019,6.261643022
Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2020,6.261643022
Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2021,6.261643022
Czechia,CZE,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2010,13.17363232
Czechia,CZE,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2011,13.17363232
Czechia,CZE,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2012,13.17363232
Czechia,CZE,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2013,13.17363232
Czechia,CZE,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2014,13.17363232
Czechia,CZE,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2015,13.17363232
Czechia,CZE,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2016,13.17363232
Czechia,CZE,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2017,13.17363232
Czechia,CZE,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2018,13.17363232
Czechia,CZE,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2020,13.17363232
Czechia,CZE,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2021,13.17363232
Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2010,95.64007521
Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2011,95.64007521
Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2012,95.64007521
Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2013,95.64007521
Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2014,95.64007521
Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2015,95.64007521
Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2016,95.64007521
Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2017,95.64007521
Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2018,95.64007521
Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2019,95.64007521
Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2020,95.64007521
Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2021,95.64007521
Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2022,95.64007521
Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2010,48.65553081
Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2011,48.65553081
Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2012,48.65553081
Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2013,48.65553081
Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2014,48.65553081
Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2015,48.65553081
Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2016,48.65553081
Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2017,48.65553081
Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2018,48.65553081
Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2019,48.65553081
Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2020,48.65553081
