,Country,Country_code,Measure,Domain,Unit_of_measure,Age,Year,Well-being_values
0,Hungary,HUN,Life satisfaction,Subjective well-being,0-10 scale,Young,2013,6.962406537
1,Hungary,HUN,Life satisfaction,Subjective well-being,0-10 scale,Young,2018,7.382389417
2,Hungary,HUN,Life satisfaction,Subjective well-being,0-10 scale,Young,2021,7.10623082
3,Hungary,HUN,Life satisfaction,Subjective well-being,0-10 scale,Young,2022,7.464816016
4,Hungary,HUN,Life satisfaction,Subjective well-being,0-10 scale,Young,2023,7.7
5,Iceland,ISL,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2012,88.67394328
6,Iceland,ISL,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2015,88.67394328
7,Iceland,ISL,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2022,88.67394328
8,Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2010,6.261643022
9,Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2011,6.261643022
10,Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2012,6.261643022
11,Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2013,6.261643022
12,Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2014,6.261643022
13,Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2015,6.261643022
14,Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2016,6.261643022
15,Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2017,6.261643022
16,Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2018,6.261643022
17,Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2019,6.261643022
18,Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2020,6.261643022
19,Netherlands,NLD,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2021,6.261643022
20,Czechia,CZE,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2010,13.17363232
21,Czechia,CZE,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2011,13.17363232
22,Czechia,CZE,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2012,13.17363232
23,Czechia,CZE,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2013,13.17363232
24,Czechia,CZE,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2014,13.17363232
25,Czechia,CZE,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2015,13.17363232
26,Czechia,CZE,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2016,13.17363232
27,Czechia,CZE,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2017,13.17363232
28,Czechia,CZE,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2018,13.17363232
29,Czechia,CZE,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2020,13.17363232
30,Czechia,CZE,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2021,13.17363232
31,Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2010,95.64007521
32,Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2011,95.64007521
33,Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2012,95.64007521
34,Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2013,95.64007521
35,Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2014,95.64007521
36,Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2015,95.64007521
37,Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2016,95.64007521
38,Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2017,95.64007521
39,Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2018,95.64007521
40,Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2019,95.64007521
41,Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2020,95.64007521
42,Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2021,95.64007521
43,Denmark,DNK,Social support,Social connections,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2022,95.64007521
44,Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2010,48.65553081
45,Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2011,48.65553081
46,Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2012,48.65553081
47,Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2013,48.65553081
48,Costa Rica,CRI,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2014,48.65553081
