Year,NOC,Country Name,Total Athletes,Medal Count,Gold Count,Silver Count,Bronze Count,Average Age (M),Average Height (M),Average Weight (M),Average Age (F),Average Height (F),Average Weight (F)
2024,ARM,Armenia,15,4.0,0.0,3.0,1.0,27.384615384615383,186.5,,25.5,,
2024,COL,Colombia,88,4.0,0.0,3.0,1.0,27.675675675675677,177.54545454545453,,27.725490196078432,166.82857142857142,
2024,JAM,Jamaica,64,6.0,1.0,3.0,2.0,25.125,183.0344827586207,,27.53125,170.8,
2024,GAM,Gambia,7,,,,,25.5,178.0,,23.333333333333332,168.0,
2024,MEX,Mexico,107,5.0,0.0,3.0,2.0,27.355555555555554,179.78571428571428,,26.70967741935484,161.15384615384616,
2024,COM,Comoros,4,,,,,27.0,183.0,,17.0,,
2024,IRQ,Iraq,23,,,,,23.0,180.25,,,,
2024,DJI,Djibouti,7,,,,,25.6,170.0,,23.0,160.0,
2024,UAE,UA Emirates,13,,,,,27.77777777777778,,,20.75,163.0,
2024,IRI,IR Iran,41,12.0,3.0,6.0,3.0,26.3,176.0,,26.363636363636363,161.0,
2024,MAW,Malawi,3,,,,,27.0,,,25.5,168.0,
2024,ARG,Argentina,142,3.0,1.0,1.0,1.0,28.009174311926607,185.26760563380282,89.35714285714286,26.606060606060606,163.2,
2024,SGP,Singapore,23,1.0,0.0,0.0,1.0,23.285714285714285,173.33333333333334,,25.875,165.5,
2024,MAS,Malaysia,26,2.0,0.0,0.0,2.0,26.692307692307693,180.83333333333334,,23.23076923076923,163.6,
2024,MTN,Mauritania,2,,,,,22.0,,,24.0,,
2024,GAB,Gabon,5,,,,,25.0,177.0,,25.0,,
2024,IND,India,110,6.0,0.0,1.0,5.0,27.6,177.46428571428572,,25.533333333333335,168.6315789473684,
2024,ETH,Ethiopia,32,4.0,1.0,3.0,0.0,24.8125,174.75,,24.1875,165.73333333333332,
2024,SKN,St Kitts and Nevis,3,,,,,18.5,175.0,,22.0,170.0,
2024,CGO,Congo,4,,,,,29.0,,,28.0,168.0,
2024,PUR,Puerto Rico,51,2.0,0.0,0.0,2.0,27.925925925925927,191.2941176470588,,27.291666666666668,174.44444444444446,
